depth_m,speed_mps,cweight_kg,whp_barg,temp_degC,pressure_bara,frequency_hz,datetime,timestamp
906.6589,-1.4765421,158.76758,-0.3943175,72.04417,49.07443,15.012937,2020-12-11 16:03:45.792,1607655825.792
906.2837,-1.4789633,158.78557,-0.39441437,72.06769,49.03888,15.013478,2020-12-11 16:03:45.792,1607655825.792
905.9121,-1.4795297,159.6731,-0.394997,72.06507,49.004406,15.117205,2020-12-11 16:03:46.656,1607655826.656
905.5405,-1.4809487,159.10014,-0.3943175,72.09382,48.966698,15.128598,2020-12-11 16:03:46.656,1607655826.656
905.16534,-1.4850464,158.96307,-0.39373636,72.11473,48.932224,15.246626,2020-12-11 16:03:46.656,1607655826.656
904.72095,-1.4857758,158.84622,-0.39305836,72.135635,48.896675,15.163963,2020-12-11 16:03:46.656,1607655826.656
904.24005,-1.4886514,159.23495,-0.39489865,72.14609,48.860046,14.95153,2020-12-11 16:03:47.520,1607655827.52
904.047,-1.4899088,159.68881,-0.3954813,72.15393,48.825573,14.989559,2020-12-11 16:03:47.520,1607655827.52
903.6718,-1.4911093,158.95856,-0.39509237,72.174835,48.788944,15.471271,2020-12-11 16:03:47.520,1607655827.52
903.30023,-1.4907415,158.36089,-0.3945127,72.19051,48.752316,15.333352,2020-12-11 16:03:48.384,1607655828.384
902.92505,-1.4922811,158.9968,-0.39257407,72.19836,48.717842,15.2925825,2020-12-11 16:03:48.384,1607655828.384
902.5498,-1.4935507,158.3115,-0.3943175,72.20881,48.681213,15.745242,2020-12-11 16:03:48.384,1607655828.384
902.11633,-1.4942571,158.8732,-0.3943175,72.21927,48.64566,15.209837,2020-12-11 16:03:48.384,1607655828.384
901.6209,-1.4944811,159.50458,-0.39354265,72.22188,48.61011,15.744897,2020-12-11 16:03:49.248,1607655829.248
901.43146,-1.4935507,157.90703,-0.3936395,72.23495,48.573483,15.509539,2020-12-11 16:03:49.248,1607655829.248
901.0526,-1.4959717,158.58334,-0.39354265,72.250626,48.537933,15.464537,2020-12-11 16:03:49.248,1607655829.248
900.6774,-1.4959717,158.6058,-0.3922835,72.27154,48.501305,15.156474,2020-12-11 16:03:50.112,1607655830.112
